filename,channels,samples,sample_rate,duration_seconds,data_shape
G_S0231_M2_E3_R10_W_raw_ref.mat,6,46000,200.0,230.0,"(6, 46000)"
G_S0231_M2_E3_R1_W_raw_ref.mat,6,60000,200.0,300.0,"(6, 60000)"
G_S0231_M2_E3_R3_N2_raw_ref.mat,6,36000,200.0,180.0,"(6, 36000)"
G_S0231_M2_E3_R4_W_raw_ref.mat,6,46000,200.0,230.0,"(6, 46000)"
G_S0231_M2_E3_R9_W_raw_ref.mat,6,62000,200.0,310.0,"(6, 62000)"
G_S0231_M2_E4_R5_W_raw_ref.mat,6,50000,200.0,250.0,"(6, 50000)"
G_S0231_M2_E5_R6_N2_raw_ref.mat,6,52000,200.0,260.0,"(6, 52000)"
G_S0231_M2_E5_R7_N2_raw_ref.mat,6,44000,200.0,220.0,"(6, 44000)"
G_S0231_M2_E5_R8_W_raw_ref.mat,6,48000,200.0,240.0,"(6, 48000)"
G_S0232_M3_E2_R5_W_raw_ref.mat,6,38000,200.0,190.0,"(6, 38000)"
G_S0232_M3_E3_R1_W_raw_ref.mat,6,49200,200.0,246.0,"(6, 49200)"
G_S0232_M3_E4_R2_W_raw_ref.mat,6,40800,200.0,204.0,"(6, 40800)"
G_S0232_M3_E4_R3_N2_raw_ref.mat,6,48000,200.0,240.0,"(6, 48000)"
G_S0232_M3_E4_R4_N1_raw_ref.mat,6,38000,200.0,190.0,"(6, 38000)"
G_S0241_M2_E3_R1_N1_raw_ref.mat,6,60000,200.0,300.0,"(6, 60000)"
G_S0241_M2_E3_R2_N1_raw_ref.mat,6,60000,200.0,300.0,"(6, 60000)"
G_S0241_M2_E3_R3_N1_raw_ref.mat,6,48000,200.0,240.0,"(6, 48000)"
G_S0241_M2_E3_R5_N2_raw_ref.mat,6,178000,200.0,890.0,"(6, 178000)"
G_S0241_M2_E4_R4_N1_raw_ref.mat,6,78000,200.0,390.0,"(6, 78000)"
